id,name,type,study,promotion
Adolf_Hitler,Hitler,0,0,0
Aggregat_2,Aggregat_2,3,99,99
Albert_Speer,Speer,0,1,0
Apollo_Programm,Apollo,3,99,99
Army_Ballistic_Missile_Agency,ABMA,1,99,99
Arthur_Rudolph,Rudolph,0,1,0
Augsburg,Augsburg,2,99,99
Bell_Air_Craft_Corporation,BACC,1,99,99
Berlin,Berlin,2,99,99
Borkum,Borkum,2,99,99
Breslau,Breslau,2,99,99
Buffalo,Buffalo,2,99,99
Burschenschaft_Markommannia,BurMar,1,99,99
Cambridge,Cambridge,2,99,99
Darmstadt,Darmstadt,2,99,99
Dyna_Soar,Dyna_Soar,3,99,99
Erich_Warsitz,Warsitz,0,0,0
Ernst_Heinkel,Heinkel,0,1,0
ETH_Zuerich,ETH_Zuerich,1,99,99
Firma_Heylandt,Firma_Heylandt,1,99,99
Forschungsstation_Zugspitze,ForStaZug,1,99,99
Fort_Bliss,Fort_Bliss,2,99,99
Friedrich_Wilhelm_Universitaet,FW_Uni,1,99,99
Gemini,Gemini,3,99,99
Geophysical_Research_Directorate,GRD,1,99,99
Georg_Rickhey,Rickhey,0,1,0
Georg_von_Tiesenhausen,Tiesenhausen,0,1,1
Gestapo,Gestapo,1,99,99
Heeresversuchsanstalt,HVA,1,99,99
Heereswaffenamt,HWA,1,99,99
Heinkel_He_112,HH112,3,99,99
Hermann_Oberth,Oberth,0,1,0
Houston,Houston,1,99,99
Huntsville,Huntsville,2,99,99
Joachim_Kuettner,Kuettner,0,1,1
John_F_Kennedy,Kennedy,0,1,0
Jupiter,Jupiter,3,99,99
Kennedy_Space_Center,KSC,2,99,99
Klaus_Riedel,K_Riedel,0,1,0
Kummersdorf,Kummersdorf,2,99,99
Kurt_Debus,Debus,0,1,1
Mercury,Mercury,3,99,99
Messerschmitt_AG,Messerschmitt_AG,1,99,99
Mittelbau_Dora,Mittelbau_Dora,2,99,99
Mittelwerk_GmbH,Mittelwerk_GmbH,1,99,99
National_Aeronautics_and_Space_Administration,NASA,1,99,99
Nationalsozialistische_Deutsche_Arbeiterpartei,NSDAP,1,99,99
Neuhardenberg,Neuhardenberg,2,99,99
Oakland,Oakland,2,99,99
Ohio,Ohio,2,99,99
Operation_Backfire,OpeBac,3,99,99
Peenemuende,Peenemuende,2,99,99
Pruefstand_VII,PruVII,3,99,99
Redstone,Redstone,3,99,99
Rudolf_Nebel,Nebel,0,1,0
Saturn,Saturn,3,99,99
Schutzstaffel,SS,1,99,99
Sturmabteilung,SA,1,99,99
Technische_Hochschule_Charlottenburg,TH_Charlottenburg,1,99,99
Technische_Hochschule_Darmstadt,TH_Darmstadt,1,99,99
University_of_California,Uni_California,1,99,99
US_Air_Force,USAF,1,99,99
US_Army,US_Army,1,99,99
V2,V2,3,99,99
Verein_fuer_Raumschifffahrt,VfR,1,99,99
Walt_Disney,Disney,0,0,0
Walter_Dornberger,Dornberger,0,1,0
Walter_Riedel,W_Riedel,0,0,0
Wernher_von_Braun,Braun,0,1,1
White_Sands_Missile_Range,WSMR,2,99,99
Wright_Field,Wright_Field,2,99,99
Zuerich,Zuerich,2,99,99
Zugspitze,Zugspitze,2,99,99
