from,to,year,relation,land
Walter_Riedel,Firma_Heylandt,1,function,1
Walter_Riedel,Berlin,1,place,1
Walter_Riedel,Heereswaffenamt,2,function,1
Walter_Riedel,Kummersdorf,2,place,1
Walter_Riedel,Heeresversuchsanstalt,2,function,1
Walter_Riedel,Peenemuende,2,place,1
Walter_Riedel,Heeresversuchsanstalt,2,function,1
Walter_Riedel,Ebensee,2,place,1
Walter_Riedel,Gefangenschaft,3,function,1
Walter_Riedel,Deggendorf,3,place,1
Eberhard_Rees,Heeresversuchsanstalt,2,function,1
Eberhard_Rees,Peenemuende,2,place,1
Eberhard_Rees,US_Army,3,function,2
Eberhard_Rees,Fort_Bliss,3,place,2
Eberhard_Rees,Redstone,3,mission,2
Eberhard_Rees,Huntsville,3,place,2
Eberhard_Rees,Army_Ballistic_Missile_Agency,3,function,2
Eberhard_Rees,National_Aeronautics_and_Space_Administration,4,function,2
Eberhard_Rees,Huntsville,4,place,2
Bernhard_Tessmann,Heeresversuchsanstalt,2,function,1
Bernhard_Tessmann,Peenemuende,2,place,1
Bernhard_Tessmann,V2,2,mission,1
Bernhard_Tessmann,V2,2,function,1
Bernhard_Tessmann,Koelpinsee,2,place,1
Bernhard_Tessmann,US_Army,3,function,2
Bernhard_Tessmann,Fort_Bliss,3,place,2
Bernhard_Tessmann,White_Sands_Missile_Range,3,function,2
Bernhard_Tessmann,White_Sands_Missile_Range,3,place,2
Bernhard_Tessmann,US_Army,3,function,2
Bernhard_Tessmann,Huntsville,3,place,2
Bernhard_Tessmann,National_Aeronautics_and_Space_Administration,4,function,2
Bernhard_Tessmann,Huntsville,4,place,2
Dieter_Huzel,Nationalsozialistische_Deutsche_Arbeiterpartei,2,function,1
Dieter_Huzel,Berlin,2,place,1
Dieter_Huzel,Heeresversuchsanstalt,2,function,1
Dieter_Huzel,Peenemuende,2,place,1
Dieter_Huzel,US_Army,3,function,2
Dieter_Huzel,Fort_Bliss,3,place,2
Dieter_Huzel,North_American_Aviation,4,function,2
Dieter_Huzel,Los_Angeles,4,place,2
Theodor_Benzinger,Nationalsozialistische_Deutsche_Arbeiterpartei,2,function,1
Theodor_Benzinger,Berlin,2,place,1
Theodor_Benzinger,Sturmabteilung,2,function,1
Theodor_Benzinger,Flugmedizinisches_Institut,2,function,1
Theodor_Benzinger,Rechlin,2,place,1
Theodor_Benzinger,Deutsche_Akademie_fuer_Luftfahrtforschung,2,function,1
Theodor_Benzinger,US_Air_Force,3,function,2
Theodor_Benzinger,Randolph_Air_Force_Base,3,place,2
Theodor_Benzinger,Naval_Medical_Research_Institute,3,function,2
Theodor_Benzinger,Bethesda,3,place,2
Theodor_Benzinger,National_Institute_of_Standards_and_Technology,4,function,2
Theodor_Benzinger,Gaithersburg,4,place,2
Konrad_Schaefer,Schering_AG,2,function,1
Konrad_Schaefer,Berlin,2,place,1
Konrad_Schaefer,Luftwaffe,2,function,1
Konrad_Schaefer,Jueterbog,2,place,1
Konrad_Schaefer,Konzentrationslager_Dachau,2,function,1
Konrad_Schaefer,Dachau,2,place,1
Konrad_Schaefer,Forschungsinstitut_fuer_Luftfahrtmedizin,2,function,1
Konrad_Schaefer,US_Air_Force,3,function,2
Konrad_Schaefer,Randolph_Air_Force_Base,3,place,2
Siegfried_Ruff,Deutsche_Versuchsanstalt_fuer_Luftfahrt,2,function,1
Siegfried_Ruff,Berlin,2,place,1
Siegfried_Ruff,Deutsche_Akademie_fuer_Luftfahrtforschung,2,function,1
Siegfried_Ruff,Nationalsozialistische_Deutsche_Arbeiterpartei,2,function,1
Siegfried_Ruff,Konzentrationslager_Dachau,2,function,1
Siegfried_Ruff,Dachau,2,place,1
Siegfried_Ruff,Aero_Medical_Center,3,function,1
Siegfried_Ruff,Heidelberg,3,place,1
Siegfried_Ruff,Institut_fuer_Flugmedizin_der_deutschen_Versuchsanstalt,3,function,1
Siegfried_Ruff,Bonn,3,place,1
Siegfried_Ruff,Universitaet_Heidelberg,3,function,1
Hubertus_Strughold,Universitaet_Muenster,1,function,1
Hubertus_Strughold,Universitaet_Goettingen,1,function,1
Hubertus_Strughold,Universitaet_Muenchen,1,function,1
Hubertus_Strughold,Universitaet_Wuerzburg,1,function,1
Hubertus_Strughold,Muenster,1,place,1
Hubertus_Strughold,Goettingen,1,place,1
Hubertus_Strughold,Muenchen,1,place,1
Hubertus_Strughold,Wuerzburg,1,place,1
Hubertus_Strughold,Max_von_Frey,1,function,1
Hubertus_Strughold,Physiologisches_Institut_Wuerzburg,1,function,1
Hubertus_Strughold,Physiologisches_Institut_Freiburg,1,function,1
Hubertus_Strughold,Freiburg,1,place,1
Hubertus_Strughold,Western_University,1,function,2
Hubertus_Strughold,Chicago,1,place,2
Hubertus_Strughold,Cleveland,1,place,2
Hubertus_Strughold,Universitaet_Wuerzburg,2,function,1
Hubertus_Strughold,Wuerzburg,2,place,1
Hubertus_Strughold,Reichsluftfahrtministerium,2,function,1
Hubertus_Strughold,Berlin,2,place,1
Hubertus_Strughold,Luftfahrtmedizinisches_Forschungsinstitut,2,function,1
Hubertus_Strughold,Zeitschrift_Luftfahrtmedizin,2,function,1
Hubertus_Strughold,Deutsche_Akademie_für_Luftfahrtforschung,2,function,1
Hubertus_Strughold,Deutsche_Akademie_der_Naturforscher_Leopoldina,2,function,1
Hubertus_Strughold,Halle,2,place,1
Hubertus_Strughold,Luftwaffe,2,function,1
Hubertus_Strughold,Aero_Medical_Center,3,function,1
Hubertus_Strughold,Heidelberg,3,place,1
Hubertus_Strughold,Universitaet_Heidelberg,3,function,1
Hubertus_Strughold,US_Air_Force,3,function,2
Hubertus_Strughold,Randolph_Air_Force_Base,3,place,2
Hubertus_Strughold,Akademie_der_Wissenschaften,3,function,1
Hubertus_Strughold,US_Airforce_Aviation_University,3,place,2
Hubertus_Strughold,Institut_fuer_Weltraummedizin,3,function,2
Hubertus_Strughold,Aerospace_Medical_Division,4,function,2
Hubertus_Strughold,US_Air_Force,4,place,2
